elapsed_s,position_rad,velocity_rad_s,tau_cmd_nm,tau_fb_nm,force_est_n
1.003994,1.897799,-1.081807,-1.250000,-0.366300,30.525031
1.006518,1.895212,-1.111111,-1.250000,-0.372161,31.013431
1.009025,1.892433,-1.125763,-1.250000,-0.372161,31.013431
1.011541,1.889462,-1.140415,-1.250000,-0.360440,30.036630
1.014071,1.886491,-1.164835,-1.250000,-0.354579,29.548230
1.016571,1.883521,-1.169719,-1.250000,-0.348718,29.059829
1.019071,1.880550,-1.159951,-1.250000,-0.336996,28.083028
1.021635,1.877675,-1.184371,-1.250000,-0.331136,27.594628
1.024145,1.874801,-1.145299,-1.250000,-0.336996,28.083028
1.026823,1.871926,-1.125763,-1.250000,-0.342857,28.571429
1.029499,1.868859,-1.140415,-1.250000,-0.348718,29.059829
1.031951,1.865985,-1.120879,-1.250000,-0.348718,29.059829
1.034472,1.860427,-1.115995,-1.250000,-0.354579,29.548230
1.038084,1.860427,-1.115995,-1.250000,-0.354579,29.548230
1.040626,1.856402,-1.120879,-1.250000,-0.354579,29.548230
1.043164,1.853431,-1.135531,-1.250000,-0.348718,29.059829
1.045767,1.850461,-1.155067,-1.250000,-0.348718,29.059829
1.048191,1.847682,-1.125763,-1.250000,-0.360440,30.036630
1.050742,1.844999,-1.115995,-1.250000,-0.348718,29.059829
1.053280,1.842028,-1.150183,-1.250000,-0.348718,29.059829
1.055807,1.839057,-1.155067,-1.250000,-0.348718,29.059829
1.058338,1.836087,-1.150183,-1.250000,-0.336996,28.083028
1.060979,1.833116,-1.189255,-1.250000,-0.336996,28.083028
1.063365,1.830050,-1.169719,-1.250000,-0.331136,27.594628
1.065721,1.827175,-1.164835,-1.250000,-0.325275,27.106227
1.068125,1.824492,-1.179487,-1.250000,-0.331136,27.594628
1.070318,1.821808,-1.150183,-1.250000,-0.331136,27.594628
1.072865,1.819317,-1.130647,-1.250000,-0.336996,28.083028
1.075370,1.816346,-1.135531,-1.250000,-0.336996,28.083028
1.077907,1.813567,-1.120879,-1.250000,-0.336996,28.083028
1.080460,1.810693,-1.140415,-1.250000,-0.342857,28.571429
1.082991,1.807722,-1.145299,-1.250000,-0.342857,28.571429
1.085522,1.804847,-1.150183,-1.250000,-0.342857,28.571429
1.088041,1.801877,-1.155067,-1.250000,-0.342857,28.571429
1.090588,1.798906,-1.184371,-1.250000,-0.325275,27.106227
1.093125,1.795935,-1.174603,-1.250000,-0.331136,27.594628
1.095542,1.792965,-1.150183,-1.250000,-0.319414,26.617827
1.097863,1.790090,-1.155067,-1.250000,-0.313553,26.129426
1.100559,1.787407,-1.169719,-1.250000,-0.325275,27.106227
